obs,pred
-999.0,5.369
-999.0,5.269
1.516,5.656
-999.0,5.754
2.322,5.6
-999.0,5.331
-999.0,5.251
1.354,5.568
1.354,5.296
1.125,5.122
-999.0,5.485
0.994,5.468
-999.0,-999.0
3.095,4.558
3.095,4.991
-999.0,5.344
-999.0,5.427
-999.0,5.212
-999.0,5.374
-999.0,4.837
-999.0,4.794
-999.0,5.523
-999.0,5.303
1.439,5.394
-999.0,4.98
-999.0,5.344
-999.0,5.547
1.125,5.165
-999.0,4.934
-999.0,4.938
-999.0,5.023
1.463,3.958
1.463,5.331
1.463,5.494
-999.0,5.141
3.47,5.198
1.923,5.185
2.318,-999.0
1.346,4.896
0.681,5.44
2.26,5.208
2.26,5.813
-999.0,4.354
-999.0,4.307
-999.0,4.996
1.125,4.904
-999.0,5.513
-999.0,5.114
1.782,5.878
1.463,5.01
1.463,5.694
-999.0,5.188
-999.0,4.797
3.811,5.186
-999.0,4.792
-999.0,-999.0
-999.0,5.372
-999.0,4.485
2.421,4.925
-999.0,4.918
-999.0,4.832
-999.0,4.69
-999.0,5.169
2.687,5.643
2.598,5.572
1.968,5.364
1.433,5.187
1.745,5.267
2.269,4.63
0.945,5.038
-999.0,5.438
-999.0,-999.0
-999.0,5.01
-999.0,5.314
-999.0,5.132
-999.0,5.35
-999.0,4.994
0.734,4.948
-999.0,5.346
-999.0,5.254
1.034,5.348
1.034,5.783
1.536,5.61
1.745,5.339
2.655,5.23
2.636,4.645
1.687,5.108
-999.0,-999.0
1.778,4.943
-999.0,5.039
-999.0,5.312
-999.0,5.036
-999.0,4.91
-999.0,-999.0
-999.0,5.136
-999.0,5.627
-999.0,5.19
1.536,5.321
-999.0,4.604
2.655,4.84
1.784,4.188
-999.0,5.319
-999.0,4.362
0.315,4.661
0.569,5.28
-999.0,5.335
1.86,4.839
1.86,5.258
-999.0,5.637
-999.0,5.417
-999.0,4.655
-999.0,-999.0
0.619,5.267
-999.0,4.977
-999.0,4.94
-999.0,4.936
-999.0,-999.0
